Metric Name,Cube,Description,Your Dimensions Available,Your Dimensions Missing,Item-Specific Dimensions Available,Notes on Dimension Coverage,Enhancement Recommendations
item_gross_sales,ItemTransactions,Gross sales amount for items,"Order ID✅, Location✅, Channel✅, Order Created✅","Order Name❌, Device❌, Device Nickname❌, Section❌, Employee❌, Customer❌, Customer Type❌, Order Completed❌, Visit Frequency❌","Item Name✅, Category Name✅, Line Item UID✅, Currency✅, Transaction Type✅","MODERATE: 4/13 of your dimensions + 5 item-specific dimensions. Great for product analysis but missing operational context like employee, device, customer type.","HIGH PRIORITY: Add joins to Orders cube for employee, device info. Add joins to CustomerSnapshots for customer type."
item_net_sales,ItemTransactions,Net sales after discounts for items,"Order ID✅, Location✅, Channel✅, Order Created✅","Order Name❌, Device❌, Device Nickname❌, Section❌, Employee❌, Customer❌, Customer Type❌, Order Completed❌, Visit Frequency❌","Item Name✅, Category Name✅, Line Item UID✅, Currency✅, Transaction Type✅",MODERATE: Same dimensional coverage as gross sales. Perfect for understanding true item revenue after discounts.,HIGH PRIORITY: Same as gross sales - need operational context through joins.
net_quantity,ItemTransactions,Net quantity sold (sales minus returns),"Order ID✅, Location✅, Channel✅, Order Created✅","Order Name❌, Device❌, Device Nickname❌, Section❌, Employee❌, Customer❌, Customer Type❌, Order Completed❌, Visit Frequency❌","Item Name✅, Category Name✅, Line Item UID✅, Transaction Type✅",MODERATE: Essential for inventory analysis. Can track item movement by location/time but missing employee performance context.,MEDIUM PRIORITY: Add employee context to track staff performance on item sales.
items_sold_count,ItemTransactions,Count of items sold,"Order ID✅, Location✅, Channel✅, Order Created✅","Order Name❌, Device❌, Device Nickname❌, Section❌, Employee❌, Customer❌, Customer Type❌, Order Completed❌, Visit Frequency❌","Item Name✅, Category Name✅, Transaction Type✅",MODERATE: Good for item popularity analysis by location/channel/time. Missing customer behavior context.,MEDIUM PRIORITY: Add customer type to understand which customer segments buy which items.
item_tax_money,ItemTransactions,Tax amount on items,"Order ID✅, Location✅, Channel✅, Order Created✅","Order Name❌, Device❌, Device Nickname❌, Section❌, Employee❌, Customer❌, Customer Type❌, Order Completed❌, Visit Frequency❌","Item Name✅, Category Name✅, Currency✅",MODERATE: Tax analysis by item/location. Useful for tax reporting and compliance by product category.,LOW PRIORITY: Tax analysis typically doesn't need full operational context.
item_discount_money,ItemTransactions,Discount amount on items,"Order ID✅, Location✅, Channel✅, Order Created✅","Order Name❌, Device❌, Device Nickname❌, Section❌, Employee❌, Customer❌, Customer Type❌, Order Completed❌, Visit Frequency❌","Item Name✅, Category Name✅, Currency✅",MODERATE: Item-level discount analysis. Can see which items get discounted most by location/channel.,HIGH PRIORITY: Add employee context to track discount usage by staff. Add customer type for discount effectiveness.
total_discount_and_comp_amount,ItemDiscountsAndComps,Total discounts and comps on items,"Order ID✅, Location✅, Channel✅, Order Created✅","Order Name❌, Device❌, Device Nickname❌, Section❌, Employee❌, Customer❌, Customer Type❌, Order Completed❌, Visit Frequency❌","Item Name✅, Discount Name✅, Discount Type✅, Line Item UID✅, Currency✅",MODERATE: Detailed promotional analysis by specific discount/comp name. Missing employee and customer context.,HIGH PRIORITY: Add employee tracking for discount authorization. Add customer type for promotional effectiveness.
discounts_applied_count,ItemDiscountsAndComps,Count of distinct discounts applied,"Order ID✅, Location✅, Channel✅, Order Created✅","Order Name❌, Device❌, Device Nickname❌, Section❌, Employee❌, Customer❌, Customer Type❌, Order Completed❌, Visit Frequency❌","Discount Name✅, Discount Type✅, Item Type✅",MODERATE: Track discount variety and usage patterns. Good for promotional strategy analysis.,MEDIUM PRIORITY: Add customer type to understand which promotions work for which customer segments.
gross_sales,ModifiersTransacted,Gross sales from modifiers/add-ons,"Order ID✅, Location✅, Channel✅, Order Created✅","Order Name❌, Device❌, Device Nickname❌, Section❌, Employee❌, Customer❌, Customer Type❌, Order Completed❌, Visit Frequency❌","Modifier Name✅, Modifier List Name✅, Line Item UID✅, Catalog Object ID✅",MODERATE: Upselling revenue analysis. Can track which modifiers generate most revenue by location/time.,HIGH PRIORITY: Add employee context for upselling performance. Add customer type for upselling effectiveness.
net_quantity,ModifiersTransacted,Net quantity of modifiers sold,"Order ID✅, Location✅, Channel✅, Order Created✅","Order Name❌, Device❌, Device Nickname❌, Section❌, Employee❌, Customer❌, Customer Type❌, Order Completed❌, Visit Frequency❌","Modifier Name✅, Modifier List Name✅, Catalog Object ID✅",MODERATE: Modifier popularity tracking. Essential for menu optimization and inventory planning.,MEDIUM PRIORITY: Add customer type to understand modifier preferences by customer segment.
modifiers_sold_count,ModifiersTransacted,Count of distinct modifiers sold,"Order ID✅, Location✅, Channel✅, Order Created✅","Order Name❌, Device❌, Device Nickname❌, Section❌, Employee❌, Customer❌, Customer Type❌, Order Completed❌, Visit Frequency❌","Modifier Name✅, Modifier List Name✅",MODERATE: Modifier variety analysis. Track how many different modifiers are being used.,LOW PRIORITY: Modifier variety analysis typically doesn't need full operational context.
